Race,Year,State,Population
Black,2016,Maine,24452
Black,2016,Maryland,1907689
Black,2016,Massachusetts,634682
Black,2016,Michigan,1488644
Black,2016,Minnesota,383880
Black,2016,Mississippi,1142681
Black,2016,Missouri,765154
Black,2016,Montana,9806
Black,2016,Nebraska,108122
Black,2016,Nevada,313615
Black,2016,New Hampshire,24781
Black,2016,New Jersey,1401290
Black,2016,New Mexico,62757
Black,2016,New York,3667316
Black,2016,North Carolina,2333929
Black,2016,North Dakota,25556
Black,2016,Ohio,1592236
Black,2016,Oklahoma,348988
Black,2016,Oregon,112667
Black,2016,Pennsylvania,1599349
Black,2016,Rhode Island,96458
Black,2016,South Carolina,1398222
Black,2016,South Dakota,21367
Black,2016,Tennessee,1177064
Black,2016,Texas,3634085
Black,2016,Utah,53098
Black,2016,Vermont,10612
Black,2016,Virginia,1741448
Black,2016,Washington,376367
Black,2016,West Virginia,75405
Black,2016,Wisconsin,417195
Black,2016,Wyoming,10293
Black,2017,Alabama,1335240
Black,2017,Alaska,36257
Black,2017,Arizona,397421
Black,2017,Arkansas,487926
Black,2017,California,2841787
Black,2017,Colorado,295430
Black,2017,Connecticut,456300
Black,2017,Delaware,230038
Black,2017,District of Columbia,336542
Black,2017,Florida,3678445
Black,2017,Georgia,3447386
Black,2017,Hawaii,43413
Black,2017,Idaho,21230
Black,2017,Illinois,1950271
Black,2017,Indiana,702537
Black,2017,Iowa,141575
Black,2017,Kansas,207469
Black,2017,Kentucky,401334
Black,2017,Louisiana,1558498
Black,2017,Maine,25673
Black,2017,Maryland,1926348
Black,2017,Massachusetts,653142
Black,2017,Michigan,1493499
Black,2017,Minnesota,406448
Black,2017,Mississippi,1142650
Black,2017,Missouri,768926
Black,2017,Montana,10081
Black,2017,Nebraska,111036
Black,2017,Nevada,328672
Black,2017,New Hampshire,25935
Black,2017,New Jersey,1412387
Black,2017,New Mexico,63539
Black,2017,New York,3695842
